///Excample Record Page Alhikmah.my.id ///

﻿"Page","Impressions","Clicks","CTR","Avg. Position"
"https://www.alhikmah.my.id/2021/01/nadhom-imriti-kata-kata-hikmah-al-hikmah.html","2","1","50%","1"
"https://www.alhikmah.my.id/2020/08/sejarah-berdirinya-pesantren-pertama-di.html","2","0","0%","8"
"https://www.alhikmah.my.id/2020/08/hadratussyaikh-kh.html","2","0","0%","5"
"https://www.alhikmah.my.id/2020/10/kisah-sejarah-raden-fatah-kesultanan.html?m=1","2","0","0%","9"
"https://www.alhikmah.my.id/2020/09/pemuda-penyabar-menjadi-kaya-raya-dan.html","2","0","0%","8"
"https://www.alhikmah.my.id/2020/10/pagar-nusa.html","2","0","0%","20"
"https://www.alhikmah.my.id/2020/09/budaya-indonesia.html","2","0","0%","19.5"
"https://www.alhikmah.my.id/search/label/KITAB%2FBUKU?m=1","2","0","0%","4"
"https://www.alhikmah.my.id/2020/10/kilas-sejarah-sang-pendiri-bangsa-ir.html?m=1","1","0","0%","8"
"https://www.alhikmah.my.id/2020/10/tanbihul-ghafilin.html","1","1","100%","74"
"https://www.alhikmah.my.id/2020/11/hasil-test-seo-cheker-al-hikmah-kata.html","1","0","0%","8"
"https://www.alhikmah.my.id/search/label/Islam","1","0","0%","3"
"https://www.alhikmah.my.id/2020/08/sholawat.html","1","0","0%","4"
"https://www.alhikmah.my.id/2020/08/ihya-ulumuddin.html","1","0","0%","20"
"https://www.alhikmah.my.id/2021/11/video-intro-islami.html?m=1","1","0","0%","5"
"https://www.alhikmah.my.id/2020/08/imam-muslim.html","1","0","0%","9"
"https://www.alhikmah.my.id/2021/11/kisah-hikmah.html","1","0","0%","8"
"https://www.alhikmah.my.id/2020/11/gambar-islami-al-hikmah.html","1","1","100%","9"
"https://www.alhikmah.my.id/2020/11/tag-html-elemen-dalam-html-terdiri-dari.html","1","0","0%","6"
"https://www.alhikmah.my.id/2020/09/30-buku-tentang-ke-nu-an.html","1","0","0%","9"
"https://www.alhikmah.my.id/2020/09/pitutur-sunan-kalijaga.html","1","0","0%","5"
"https://www.alhikmah.my.id/2020/08/desain-kaos.html","1","0","0%","10"
"https://www.alhikmah.my.id/2020/12/konsep-kesehatan-dalam-islam.html","1","0","0%","5"
"https://www.alhikmah.my.id/2020/10/kisah-sejarah-raden-fatah-kesultanan.html","1","0","0%","9"
"https://www.alhikmah.my.id/2020/11/keutamaan-keistimewaan-dan-peristiwa.html?m=1","1","0","0%","3"
"https://www.alhikmah.my.id/2020/10/ssl-certificates-install-charles-root.html","1","0","0%","3"
"https://www.alhikmah.my.id/2020/09/sekilas-kerajaan-kerajaan-islam-di.html","1","0","0%","10"
"https://www.alhikmah.my.id/2021/08/aplikasi.html","1","1","100%","1"
"https://www.alhikmah.my.id/2020/08/drhc-ir-h-soekarno.html?hl=ar","1","0","0%","3"
"https://www.alhikmah.my.id/2020/08/katakatahikmah-abuya-dr-hamka.html","1","0","0%","7"


///*Excemple Keyword ///

﻿"Keyword","Impressions","Clicks","CTR","Avg. Position"
"kartanu","86","8","9.3%","3.97674418604651"
"kartanu online","10","0","0%","7.5"
"web.kartanu.id/login","7","0","0%","8.71428571428571"
"https://.kartanu.id/dashboard/kartanu","5","0","0%","8.2"
"cara membuat kartu tanda anggota melalui android","4","0","0%","11.25"
"www.alhikmah.my.id","3","0","0%","6.66666666666667"
"daftar kartanu","3","0","0%","6.66666666666667"
"cetak kartanu","3","2","66.67%","6.33333333333333"
"http//web.kartanu.id/login","3","0","0%","8"
"site:www.alhikmah.my.id","3","0","0%","9.3333"
"web.kartanu.id","3","0","0%","7.33333333333333"
"www.kartanu.com","2","0","0%","8.5"
"pentingnya dibuat kartu tanda anggota","2","0","0%","8"
"web.kartanu","2","0","0%","7"
"kartu nu","2","0","0%","5"
"kartutanda anggota nahdlatul ulama","2","1","50%","7"
"karrtanu","2","0","0%","5"
"kartanu nu online","2","0","0%","10"
"e_kartanu","2","0","0%","9"
"kartanu online login","2","0","0%","11"
"web kartanu id","2","0","0%","7"
"kartanu nahdlatul ulama","2","0","0%","5"
"kartanu nu","1","0","0%","5"
"download aplikasi e kartanu","1","0","0%","7"
"buat kartu nu","1","1","100%","6"
"kartanu login online","1","0","0%","6"
"tutorial cara mendapatkan kartanu kartu tanda anggota nu","1","0","0%","5"
"cabang kartanu","1","0","0%","5"
"contoh kartanu","1","1","100%","4"
"web kartanu","1","0","0%","7"
"download kartu kartanu","1","1","100%","7"
"daftar kartanu via online","1","1","100%","3"
"www.kartanu.id/login","1","0","0%","22"
"web.kartanu.id,","1","0","0%","6"
"kartanu admin","1","1","100%","5"
"kartanu - kartu anggota nahdlatul ulama","1","0","0%","4"
"registrasi kartu anggota nu online","1","1","100%","5"
"www.web.kartanu.id","1","0","0%","7"
"web://kartanu.id","1","0","0%","9"
"registrasi anggota nu","1","1","100%","3"
"alhikmah.my.id nu","1","0","0%","4"
"kartanu tanpa aplikasi","1","0","0%","9"
"kartanu.id","1","0","0%","7"
"kartu anggota pcnu","1","0","0%","3"
"https//web.kartanu.id","1","0","0%","7"
"masuk kartanu","1","0","0%","9"
"kartu anggota nahdlatul ulama","1","0","0%","4"
